Airline,Date_of_Journey,Source,Destination,Departure_Time,Arrival_Time,Duration,Total_Stops,Price,Month Name,Day of Month,Day Name,Week of Year,Month
Jet Airways,2019-05-21,Delhi,Cochin,5.3,12.35,7.08,2,15544,May,21,Tuesday,21,5
GoAir,2019-05-18,Delhi,Cochin,7.25,13.35,6.17,1,6296,May,18,Saturday,20,5
IndiGo,2019-04-27,Kolkata,Banglore,9.35,12.2,2.75,0,4804,April,27,Saturday,17,4
Air Asia,2019-03-18,Banglore,New Delhi,5.5,8.4,2.83,0,4284,March,18,Monday,12,3
IndiGo,2019-03-21,Delhi,Cochin,7.35,22.2,14.75,1,6558,March,21,Thursday,12,3
IndiGo,2019-06-24,Delhi,Cochin,21.5,3.35,5.75,1,5775,June,24,Monday,26,6
SpiceJet,2019-06-21,Chennai,Kolkata,8.2,10.35,2.25,0,3543,June,21,Friday,25,6
Jet Airways,2019-06-03,Delhi,Cochin,9.55,18.5,8.92,1,17024,June,3,Monday,23,6
Jet Airways,2019-09-06,Mumbai,Hyderabad,7.05,8.3,1.42,0,4050,September,6,Friday,36,9
Air India,2019-06-03,Mumbai,Hyderabad,6.0,15.15,33.25,2,14219,June,3,Monday,23,6
Jet Airways,2019-01-03,Banglore,New Delhi,11.4,18.25,6.75,1,26890,January,3,Thursday,1,1
Air India,2019-06-15,Delhi,Cochin,19.45,19.15,23.5,2,9653,June,15,Saturday,24,6
IndiGo,2019-06-21,Banglore,Delhi,6.05,8.5,2.75,0,3943,June,21,Friday,25,6
Jet Airways,2019-05-18,Kolkata,Banglore,14.05,16.2,26.25,1,10844,May,18,Saturday,20,5
Jet Airways,2019-01-04,Kolkata,Banglore,21.1,4.4,7.5,1,8849,January,4,Friday,1,1
IndiGo,2019-12-06,Mumbai,Hyderabad,1.4,3.1,1.5,0,2754,December,6,Friday,49,12
Air India,2019-03-21,Delhi,Cochin,6.5,19.15,36.42,2,10756,March,21,Thursday,12,3
Jet Airways,2019-05-21,Kolkata,Banglore,17.0,21.05,28.08,1,14151,May,21,Tuesday,21,5
Jet Airways,2019-12-06,Kolkata,Banglore,8.25,20.45,12.33,1,9899,December,6,Friday,49,12
Jet Airways,2019-03-21,Delhi,Cochin,22.0,4.25,6.42,1,12242,March,21,Thursday,12,3
Jet Airways,2019-09-06,Delhi,Cochin,19.3,12.35,17.08,2,10368,September,6,Friday,36,9
IndiGo,2019-05-24,Mumbai,Hyderabad,9.1,10.4,1.5,0,5755,May,24,Friday,21,5
Jet Airways,2019-06-15,Delhi,Cochin,18.15,4.25,10.17,1,10262,June,15,Saturday,24,6
SpiceJet,2019-06-06,Kolkata,Banglore,8.35,17.15,8.67,1,6643,June,6,Thursday,23,6
Other,2019-03-21,Delhi,Cochin,7.3,21.0,13.5,1,9845,March,21,Thursday,12,3
Jet Airways,2019-03-24,Kolkata,Banglore,18.55,12.0,17.08,1,11134,March,24,Sunday,12,3
SpiceJet,2019-01-06,Delhi,Cochin,6.05,11.2,5.25,1,5583,January,6,Sunday,1,1
IndiGo,2019-05-15,Delhi,Cochin,16.0,21.0,5.0,1,6069,May,15,Wednesday,20,5
Jet Airways,2019-12-03,Banglore,New Delhi,5.45,20.2,14.58,1,13817,December,3,Tuesday,49,12
Air India,2019-06-03,Delhi,Cochin,5.0,19.15,38.25,2,10283,June,3,Monday,23,6
Air India,2019-03-24,Kolkata,Banglore,9.5,21.05,11.25,1,7795,March,24,Sunday,12,3
Multiple carriers,2019-09-03,Delhi,Cochin,0.2,7.4,7.33,1,13977,September,3,Tuesday,36,9
Jet Airways,2019-01-06,Delhi,Cochin,6.45,4.25,21.67,2,10919,January,6,Sunday,1,1
IndiGo,2019-03-03,Kolkata,Banglore,20.25,23.05,2.67,0,6038,March,3,Sunday,9,3
IndiGo,2019-05-21,Delhi,Cochin,5.35,8.5,3.25,0,5601,May,21,Tuesday,21,5
IndiGo,2019-09-03,Delhi,Cochin,7.3,21.0,13.5,1,12351,September,3,Tuesday,36,9
Air India,2019-04-15,Delhi,Cochin,5.1,8.0,2.83,0,6094,April,15,Monday,16,4
Multiple carriers,2019-05-15,Delhi,Cochin,10.35,19.15,8.67,1,7575,May,15,Wednesday,20,5
Jet Airways,2019-05-27,Delhi,Cochin,21.5,4.25,6.58,1,16079,May,27,Monday,22,5
Jet Airways,2019-06-15,Delhi,Cochin,19.15,19.0,23.75,1,10262,June,15,Saturday,24,6
Air Asia,2019-09-06,Delhi,Cochin,16.45,22.25,5.67,1,13470,September,6,Friday,36,9
Jet Airways,2019-06-27,Banglore,Delhi,11.1,14.05,2.92,0,8016,June,27,Thursday,26,6
Jet Airways,2019-09-03,Delhi,Cochin,18.15,18.5,24.58,1,16289,September,3,Tuesday,36,9
Jet Airways,2019-06-06,Delhi,Cochin,19.45,4.25,8.67,1,10262,June,6,Thursday,23,6
IndiGo,2019-06-27,Banglore,Delhi,18.25,21.2,2.92,0,4823,June,27,Thursday,26,6
Vistara,2019-09-04,Banglore,Delhi,9.45,12.35,2.83,0,5403,September,4,Wednesday,36,9
Jet Airways,2019-05-18,Delhi,Cochin,17.3,19.0,25.5,1,12373,May,18,Saturday,20,5
SpiceJet,2019-06-03,Mumbai,Hyderabad,14.1,22.25,8.25,1,13552,June,3,Monday,23,6
Jet Airways,2019-09-05,Kolkata,Banglore,8.25,20.45,12.33,1,10844,September,5,Thursday,36,9
Air India,2019-06-03,Mumbai,Hyderabad,9.4,23.45,14.08,2,22619,June,3,Monday,23,6
Multiple carriers,2019-05-27,Delhi,Cochin,10.35,19.15,8.67,1,8625,May,27,Monday,22,5
IndiGo,2019-03-24,Banglore,New Delhi,6.0,8.45,2.75,0,4777,March,24,Sunday,12,3
IndiGo,2019-06-21,Delhi,Cochin,5.35,8.5,3.25,0,5000,June,21,Friday,25,6
Jet Airways,2019-06-03,Delhi,Cochin,19.1,19.45,24.58,2,21954,June,3,Monday,23,6
Jet Airways,2019-03-06,Delhi,Cochin,11.3,4.25,16.92,1,11627,March,6,Wednesday,10,3
Jet Airways,2019-05-24,Kolkata,Banglore,14.05,4.4,14.58,1,13731,May,24,Friday,21,5
IndiGo,2019-03-04,Banglore,Delhi,22.1,1.0,2.83,0,3943,March,4,Monday,10,3
Jet Airways,2019-03-21,Banglore,New Delhi,8.55,23.0,14.08,1,6992,March,21,Thursday,12,3
Jet Airways,2019-06-05,Kolkata,Banglore,18.55,4.4,9.75,1,13941,June,5,Wednesday,23,6
Jet Airways,2019-12-06,Delhi,Cochin,8.0,19.0,11.0,1,14924,December,6,Friday,49,12
Jet Airways,2019-06-27,Delhi,Cochin,2.15,12.35,10.33,1,18371,June,27,Thursday,26,6
IndiGo,2019-03-03,Chennai,Kolkata,19.35,21.55,2.33,0,7295,March,3,Sunday,9,3
Air India,2019-09-03,Banglore,New Delhi,17.0,16.4,23.67,1,9292,September,3,Tuesday,36,9
Jet Airways,2019-01-05,Kolkata,Banglore,20.0,8.15,12.25,1,13941,January,5,Saturday,1,1
IndiGo,2019-03-24,Kolkata,Banglore,4.15,9.5,5.58,1,4150,March,24,Sunday,12,3
Jet Airways,2019-01-04,Kolkata,Banglore,20.0,23.35,27.58,1,12681,January,4,Friday,1,1
IndiGo,2019-03-06,Delhi,Cochin,5.35,8.5,3.25,0,5601,March,6,Wednesday,10,3
Air India,2019-05-21,Kolkata,Banglore,9.5,8.55,23.08,2,14960,May,21,Tuesday,21,5
Multiple carriers,2019-06-06,Delhi,Cochin,16.0,1.3,9.5,1,13377,June,6,Thursday,23,6
IndiGo,2019-03-21,Mumbai,Hyderabad,12.0,13.25,1.42,0,3342,March,21,Thursday,12,3
Jet Airways,2019-06-06,Banglore,Delhi,11.1,14.05,2.92,0,8016,June,6,Thursday,23,6
Jet Airways,2019-06-03,Banglore,New Delhi,5.45,23.0,17.25,1,16736,June,3,Monday,23,6
Jet Airways,2019-03-24,Kolkata,Banglore,21.1,19.4,22.5,1,10031,March,24,Sunday,12,3
Air India,2019-04-21,Delhi,Cochin,20.3,8.15,11.75,1,7258,April,21,Sunday,16,4
Jet Airways,2019-05-15,Banglore,Delhi,6.0,8.45,2.75,0,4030,May,15,Wednesday,20,5
Air India,2019-06-24,Delhi,Cochin,14.25,19.15,28.83,2,13381,June,24,Monday,26,6
Jet Airways,2019-05-24,Delhi,Cochin,23.05,4.25,29.33,2,16704,May,24,Friday,21,5
Multiple carriers,2019-06-24,Delhi,Cochin,9.0,21.0,12.0,1,13587,June,24,Monday,26,6
Jet Airways,2019-05-24,Mumbai,Hyderabad,2.55,4.2,1.42,0,5678,May,24,Friday,21,5
Jet Airways,2019-01-04,Kolkata,Banglore,6.3,9.2,26.83,1,7064,January,4,Friday,1,1
IndiGo,2019-03-06,Mumbai,Hyderabad,1.4,3.1,1.5,0,2754,March,6,Wednesday,10,3
Vistara,2019-01-05,Banglore,Delhi,9.45,12.35,2.83,0,4668,January,5,Saturday,1,1
Air Asia,2019-06-21,Kolkata,Banglore,19.55,22.25,2.5,0,4107,June,21,Friday,25,6
IndiGo,2019-12-06,Delhi,Cochin,4.55,21.0,16.08,1,5894,December,6,Friday,49,12
Jet Airways,2019-06-06,Delhi,Cochin,17.3,4.25,10.92,1,10262,June,6,Thursday,23,6
Jet Airways,2019-09-05,Kolkata,Banglore,16.3,8.15,15.75,1,13941,September,5,Thursday,36,9
Air Asia,2019-04-27,Delhi,Cochin,16.45,7.1,14.42,1,6451,April,27,Saturday,17,4
Air India,2019-06-27,Delhi,Cochin,9.45,9.25,23.67,2,10975,June,27,Thursday,26,6
Air India,2019-06-03,Delhi,Cochin,12.0,7.4,19.67,2,14746,June,3,Monday,23,6
Air Asia,2019-06-06,Delhi,Cochin,20.45,7.1,10.42,1,11410,June,6,Thursday,23,6
SpiceJet,2019-01-05,Kolkata,Banglore,6.55,9.3,2.58,0,3841,January,5,Saturday,1,1
Air India,2019-03-06,Delhi,Cochin,6.5,7.4,24.83,2,13381,March,6,Wednesday,10,3
Multiple carriers,2019-09-05,Delhi,Cochin,11.3,1.3,14.0,1,15078,September,5,Thursday,36,9
Air India,2019-09-05,Kolkata,Banglore,9.25,18.3,9.08,1,8891,September,5,Thursday,36,9
Jet Airways,2019-09-05,Kolkata,Banglore,14.05,10.05,20.0,1,7757,September,5,Thursday,36,9
Air India,2019-09-04,Banglore,Delhi,5.45,8.45,3.0,0,4441,September,4,Wednesday,36,9
Jet Airways,2019-03-24,Kolkata,Banglore,19.45,18.1,22.42,1,10031,March,24,Sunday,12,3
IndiGo,2019-12-04,Banglore,Delhi,13.0,15.5,2.83,0,4823,December,4,Wednesday,49,12
Air India,2019-05-24,Kolkata,Banglore,9.25,18.3,9.08,1,8576,May,24,Friday,21,5
Jet Airways,2019-12-03,Banglore,New Delhi,20.35,16.1,19.58,1,11087,December,3,Tuesday,49,12
Jet Airways,2019-05-18,Delhi,Cochin,10.0,12.35,26.58,1,12373,May,18,Saturday,20,5
Air India,2019-05-21,Kolkata,Banglore,9.25,5.35,20.17,2,11432,May,21,Tuesday,21,5
IndiGo,2019-06-15,Mumbai,Hyderabad,16.55,18.25,1.5,0,3175,June,15,Saturday,24,6
IndiGo,2019-12-05,Kolkata,Banglore,9.35,12.2,2.75,0,4804,December,5,Thursday,49,12
Jet Airways,2019-06-27,Delhi,Cochin,9.4,12.35,26.92,2,13014,June,27,Thursday,26,6
Multiple carriers,2019-06-03,Delhi,Cochin,7.1,22.2,15.17,1,7563,June,3,Monday,23,6
SpiceJet,2019-06-27,Kolkata,Banglore,9.0,11.25,2.42,0,3873,June,27,Thursday,26,6
IndiGo,2019-05-21,Delhi,Cochin,11.55,0.55,13.0,1,6282,May,21,Tuesday,21,5
Multiple carriers,2019-01-06,Delhi,Cochin,8.3,19.0,10.5,1,11200,January,6,Sunday,1,1
Vistara,2019-04-24,Banglore,Delhi,19.3,22.15,2.75,0,5613,April,24,Wednesday,17,4
IndiGo,2019-09-06,Delhi,Cochin,14.2,17.35,3.25,0,5601,September,6,Friday,36,9
Jet Airways,2019-06-15,Delhi,Cochin,14.0,12.35,22.58,1,10262,June,15,Saturday,24,6
IndiGo,2019-01-03,Banglore,New Delhi,20.0,22.55,2.92,0,14306,January,3,Thursday,1,1
Jet Airways,2019-01-04,Kolkata,Banglore,20.0,20.45,24.75,1,7064,January,4,Friday,1,1
Jet Airways,2019-06-27,Delhi,Cochin,7.05,19.0,11.92,1,18371,June,27,Thursday,26,6
Air India,2019-05-18,Delhi,Cochin,20.15,19.15,23.0,2,13591,May,18,Saturday,20,5
Jet Airways,2019-01-06,Delhi,Cochin,9.4,12.35,26.92,2,10368,January,6,Sunday,1,1
Multiple carriers,2019-12-06,Delhi,Cochin,17.5,1.3,7.67,2,18275,December,6,Friday,49,12
IndiGo,2019-05-27,Banglore,Delhi,22.1,1.0,2.83,0,3749,May,27,Monday,22,5
Air Asia,2019-06-06,Kolkata,Banglore,15.1,23.3,8.33,2,6810,June,6,Thursday,23,6
Multiple carriers,2019-05-21,Delhi,Cochin,11.4,21.0,9.33,1,7485,May,21,Tuesday,21,5
Air India,2019-05-27,Kolkata,Banglore,14.15,16.45,2.5,0,5510,May,27,Monday,22,5
Jet Airways,2019-03-06,Delhi,Cochin,18.15,4.25,10.17,1,10262,March,6,Wednesday,10,3
Multiple carriers,2019-06-24,Delhi,Cochin,7.1,16.1,9.0,1,6723,June,24,Monday,26,6
Multiple carriers,2019-03-21,Delhi,Cochin,8.0,15.3,7.5,1,8307,March,21,Thursday,12,3
GoAir,2019-04-21,Delhi,Cochin,5.55,13.35,7.67,1,6146,April,21,Sunday,16,4
Jet Airways,2019-05-27,Delhi,Cochin,13.25,12.35,23.17,2,15129,May,27,Monday,22,5
Jet Airways,2019-01-05,Kolkata,Banglore,6.3,12.0,5.5,1,14388,January,5,Saturday,1,1
Jet Airways,2019-06-04,Banglore,Delhi,6.0,8.45,2.75,0,4544,June,4,Tuesday,23,6
Jet Airways,2019-12-04,Banglore,Delhi,11.1,14.05,2.92,0,5198,December,4,Wednesday,49,12
IndiGo,2019-05-18,Delhi,Cochin,9.15,1.3,16.25,1,7503,May,18,Saturday,20,5
GoAir,2019-01-03,Banglore,New Delhi,15.45,20.15,4.5,1,12314,January,3,Thursday,1,1
Air India,2019-05-15,Delhi,Cochin,13.0,19.15,6.25,1,8372,May,15,Wednesday,20,5
Jet Airways,2019-05-21,Kolkata,Banglore,16.3,23.35,7.08,1,14781,May,21,Tuesday,21,5
Jet Airways,2019-06-24,Banglore,Delhi,19.5,22.5,3.0,0,8016,June,24,Monday,26,6
IndiGo,2019-12-03,Chennai,Kolkata,7.55,10.15,2.33,0,6297,December,3,Tuesday,49,12
Jet Airways,2019-01-05,Kolkata,Banglore,8.25,9.2,24.92,1,14388,January,5,Saturday,1,1
GoAir,2019-01-06,Delhi,Cochin,7.25,13.35,6.17,1,6393,January,6,Sunday,1,1
Jet Airways,2019-09-06,Kolkata,Banglore,21.1,10.05,12.92,1,14939,September,6,Friday,36,9
Jet Airways,2019-05-21,Kolkata,Banglore,8.25,19.5,11.42,1,14781,May,21,Tuesday,21,5
IndiGo,2019-06-03,Delhi,Cochin,7.3,21.0,13.5,1,14871,June,3,Monday,23,6
SpiceJet,2019-06-04,Banglore,Delhi,9.3,12.2,2.83,0,4319,June,4,Tuesday,23,6
Jet Airways,2019-05-15,Kolkata,Banglore,17.0,9.45,16.75,1,13067,May,15,Wednesday,20,5
Jet Airways,2019-01-03,Banglore,New Delhi,16.55,8.15,15.33,1,26890,January,3,Thursday,1,1
Jet Airways,2019-03-15,Banglore,New Delhi,7.0,13.15,6.25,1,9134,March,15,Friday,11,3
IndiGo,2019-03-04,Banglore,Delhi,21.15,0.15,3.0,0,3943,March,4,Monday,10,3
Air India,2019-06-24,Delhi,Cochin,7.0,19.15,12.25,1,8879,June,24,Monday,26,6
Jet Airways,2019-05-24,Kolkata,Banglore,18.55,12.0,17.08,1,14571,May,24,Friday,21,5
IndiGo,2019-06-15,Kolkata,Banglore,9.35,12.1,2.58,0,5644,June,15,Saturday,24,6
Jet Airways,2019-09-06,Kolkata,Banglore,6.3,4.4,22.17,1,9663,September,6,Friday,36,9
Jet Airways,2019-09-06,Kolkata,Banglore,14.05,23.35,9.5,1,14571,September,6,Friday,36,9
SpiceJet,2019-09-06,Banglore,Delhi,21.1,0.05,2.92,0,3971,September,6,Friday,36,9
Jet Airways,2019-06-03,Delhi,Cochin,9.0,18.5,9.83,1,17024,June,3,Monday,23,6
SpiceJet,2019-05-15,Kolkata,Banglore,17.1,19.4,2.5,0,3841,May,15,Wednesday,20,5
Jet Airways,2019-05-27,Delhi,Cochin,19.45,19.0,23.25,1,12898,May,27,Monday,22,5
Jet Airways,2019-06-06,Delhi,Cochin,14.35,4.25,13.83,2,13376,June,6,Thursday,23,6
Jet Airways,2019-06-15,Delhi,Cochin,21.25,12.35,15.17,2,9905,June,15,Saturday,24,6
Multiple carriers,2019-06-15,Delhi,Cochin,8.0,21.0,13.0,1,13587,June,15,Saturday,24,6
Multiple carriers,2019-06-24,Delhi,Cochin,6.0,21.0,15.0,1,7740,June,24,Monday,26,6
Multiple carriers,2019-05-21,Delhi,Cochin,6.0,12.35,6.58,1,9794,May,21,Tuesday,21,5
Jet Airways,2019-06-03,Banglore,New Delhi,22.5,21.2,22.5,1,17471,June,3,Monday,23,6
Jet Airways,2019-09-03,Delhi,Cochin,13.45,4.25,14.67,2,15129,September,3,Tuesday,36,9
Jet Airways,2019-01-05,Kolkata,Banglore,9.35,14.25,28.83,1,11467,January,5,Saturday,1,1
Air India,2019-12-06,Kolkata,Banglore,14.35,14.35,24.0,1,6528,December,6,Friday,49,12
Multiple carriers,2019-06-27,Delhi,Cochin,7.3,19.15,11.75,1,8266,June,27,Thursday,26,6
IndiGo,2019-06-03,Delhi,Cochin,6.4,22.2,15.67,1,6442,June,3,Monday,23,6
Jet Airways,2019-12-06,Delhi,Cochin,22.5,12.35,13.75,1,10262,December,6,Friday,49,12
Jet Airways,2019-01-03,Mumbai,Hyderabad,7.1,8.35,1.42,0,17501,January,3,Thursday,1,1
Air India,2019-05-24,Banglore,Delhi,6.1,8.55,2.75,0,8273,May,24,Friday,21,5
Air India,2019-03-21,Delhi,Cochin,18.3,19.15,24.75,2,10703,March,21,Thursday,12,3
Multiple carriers,2019-06-15,Delhi,Cochin,10.0,1.3,15.5,1,8510,June,15,Saturday,24,6
IndiGo,2019-03-15,Mumbai,Hyderabad,20.05,21.35,1.5,0,2754,March,15,Friday,11,3
IndiGo,2019-05-18,Mumbai,Hyderabad,21.2,22.5,1.5,0,2227,May,18,Saturday,20,5
Multiple carriers,2019-06-27,Delhi,Cochin,17.5,1.3,7.67,2,18275,June,27,Thursday,26,6
SpiceJet,2019-04-21,Delhi,Cochin,8.45,13.15,4.5,1,6356,April,21,Sunday,16,4
Jet Airways,2019-05-15,Kolkata,Banglore,14.05,20.45,6.67,1,14781,May,15,Wednesday,20,5
Jet Airways,2019-05-27,Delhi,Cochin,9.4,12.35,26.92,2,13029,May,27,Monday,22,5
GoAir,2019-01-05,Banglore,Delhi,11.4,14.3,2.83,0,4340,January,5,Saturday,1,1
Air India,2019-12-06,Kolkata,Banglore,17.3,13.45,20.25,2,12224,December,6,Friday,49,12
Jet Airways,2019-05-24,Kolkata,Banglore,16.3,18.15,25.75,1,10844,May,24,Friday,21,5
IndiGo,2019-04-15,Kolkata,Banglore,9.35,12.2,2.75,0,4174,April,15,Monday,16,4
Air India,2019-01-03,Banglore,New Delhi,17.0,22.55,29.92,2,14887,January,3,Thursday,1,1
Multiple carriers,2019-09-04,Delhi,Cochin,9.0,19.15,10.25,1,12853,September,4,Wednesday,36,9
Air Asia,2019-05-15,Banglore,Delhi,11.1,13.55,2.75,0,3383,May,15,Wednesday,20,5
GoAir,2019-01-03,Banglore,New Delhi,11.4,14.35,2.92,0,11111,January,3,Thursday,1,1
Jet Airways,2019-01-04,Banglore,Delhi,17.45,20.45,3.0,0,7229,January,4,Friday,1,1
Jet Airways,2019-06-05,Banglore,Delhi,17.45,20.45,3.0,0,4030,June,5,Wednesday,23,6
IndiGo,2019-03-03,Delhi,Cochin,15.0,1.35,10.58,1,14871,March,3,Sunday,9,3
Jet Airways,2019-05-27,Delhi,Cochin,19.45,4.25,8.67,1,12898,May,27,Monday,22,5
Multiple carriers,2019-05-18,Delhi,Cochin,11.3,19.15,7.75,1,14533,May,18,Saturday,20,5
Air India,2019-06-06,Delhi,Cochin,17.4,8.15,14.58,1,7258,June,6,Thursday,23,6
SpiceJet,2019-01-04,Delhi,Cochin,8.45,13.15,4.5,1,4812,January,4,Friday,1,1
Jet Airways,2019-09-05,Kolkata,Banglore,9.35,21.05,11.5,1,12384,September,5,Thursday,36,9
Air India,2019-06-06,Delhi,Cochin,12.0,7.4,19.67,2,8603,June,6,Thursday,23,6
Air India,2019-06-06,Delhi,Cochin,12.0,19.15,7.25,2,8603,June,6,Thursday,23,6
Jet Airways,2019-03-24,Kolkata,Banglore,13.55,23.25,9.5,1,14231,March,24,Sunday,12,3
Jet Airways,2019-09-05,Delhi,Cochin,23.05,4.25,29.33,2,15129,September,5,Thursday,36,9
Air Asia,2019-01-06,Delhi,Cochin,20.45,7.1,10.42,1,11410,January,6,Sunday,1,1
Air India,2019-12-03,Banglore,New Delhi,8.5,9.25,24.58,2,12725,December,3,Tuesday,49,12
Jet Airways,2019-09-06,Delhi,Cochin,9.35,12.35,27.0,2,13292,September,6,Friday,36,9
SpiceJet,2019-04-24,Kolkata,Banglore,6.55,9.3,2.58,0,3873,April,24,Wednesday,17,4
IndiGo,2019-06-15,Chennai,Kolkata,7.55,10.15,2.33,0,3850,June,15,Saturday,24,6
SpiceJet,2019-09-06,Kolkata,Banglore,11.35,18.5,7.25,1,8479,September,6,Friday,36,9
Jet Airways,2019-05-24,Kolkata,Banglore,9.35,23.35,14.0,1,14151,May,24,Friday,21,5
Air India,2019-04-24,Banglore,Delhi,6.1,8.55,2.75,0,5228,April,24,Wednesday,17,4
Vistara,2019-09-06,Kolkata,Banglore,7.1,9.05,25.92,1,9397,September,6,Friday,36,9
Jet Airways,2019-06-18,Mumbai,Hyderabad,7.05,8.3,1.42,0,4995,June,18,Tuesday,25,6
Air India,2019-01-06,Delhi,Cochin,19.45,19.15,23.5,2,10651,January,6,Sunday,1,1
Air Asia,2019-03-04,Banglore,Delhi,4.55,7.45,2.83,0,4282,March,4,Monday,10,3
Air India,2019-05-21,Kolkata,Banglore,8.2,21.5,13.5,2,10697,May,21,Tuesday,21,5
Jet Airways,2019-05-21,Kolkata,Banglore,9.35,14.25,28.83,1,9314,May,21,Tuesday,21,5
IndiGo,2019-06-27,Chennai,Kolkata,5.15,7.4,2.42,0,3540,June,27,Thursday,26,6
Air India,2019-12-06,Delhi,Cochin,16.4,19.15,26.58,2,9443,December,6,Friday,49,12
Multiple carriers,2019-06-03,Delhi,Cochin,7.3,15.3,8.0,1,15147,June,3,Monday,23,6
Jet Airways,2019-06-27,Banglore,Delhi,8.2,11.2,3.0,0,8016,June,27,Thursday,26,6
IndiGo,2019-05-24,Mumbai,Hyderabad,21.2,22.5,1.5,0,2437,May,24,Friday,21,5
IndiGo,2019-05-27,Delhi,Cochin,10.35,1.3,14.92,1,6104,May,27,Monday,22,5
SpiceJet,2019-06-06,Mumbai,Hyderabad,22.45,0.15,1.5,0,1965,June,6,Thursday,23,6
Multiple carriers,2019-12-06,Delhi,Cochin,13.0,21.0,8.0,1,7408,December,6,Friday,49,12
IndiGo,2019-06-18,Mumbai,Hyderabad,6.25,7.55,1.5,0,4049,June,18,Tuesday,25,6
Jet Airways,2019-01-06,Banglore,Delhi,19.5,22.5,3.0,0,8016,January,6,Sunday,1,1
Multiple carriers,2019-09-05,Delhi,Cochin,7.0,19.0,12.0,1,10197,September,5,Thursday,36,9
Jet Airways,2019-01-05,Kolkata,Banglore,21.1,8.15,11.08,1,10844,January,5,Saturday,1,1
Jet Airways,2019-09-06,Kolkata,Banglore,17.0,19.1,26.17,1,12692,September,6,Friday,36,9
Jet Airways,2019-06-05,Kolkata,Banglore,8.25,16.2,7.92,1,14781,June,5,Wednesday,23,6
GoAir,2019-05-24,Kolkata,Banglore,23.3,7.45,8.25,1,7335,May,24,Friday,21,5
Jet Airways,2019-05-27,Banglore,Delhi,8.2,11.2,3.0,0,7229,May,27,Monday,22,5
Vistara,2019-03-24,Banglore,New Delhi,21.1,0.05,2.92,0,4353,March,24,Sunday,12,3
Jet Airways,2019-05-18,Kolkata,Banglore,20.0,8.15,12.25,1,13941,May,18,Saturday,20,5
Jet Airways,2019-12-03,Banglore,New Delhi,9.45,14.25,4.67,1,12295,December,3,Tuesday,49,12
Jet Airways,2019-05-27,Delhi,Cochin,22.5,12.35,13.75,1,12898,May,27,Monday,22,5
Vistara,2019-09-05,Kolkata,Banglore,7.1,22.4,15.5,1,7927,September,5,Thursday,36,9
Air Asia,2019-04-15,Banglore,Delhi,23.55,2.45,2.83,0,4483,April,15,Monday,16,4
Jet Airways,2019-06-03,Banglore,New Delhi,11.4,18.25,6.75,1,19225,June,3,Monday,23,6
GoAir,2019-04-24,Delhi,Cochin,7.25,13.35,6.17,1,4692,April,24,Wednesday,17,4
Jet Airways,2019-03-18,Banglore,New Delhi,21.25,9.3,12.08,1,13555,March,18,Monday,12,3
IndiGo,2019-09-04,Delhi,Cochin,15.0,1.3,10.5,1,6270,September,4,Wednesday,36,9
Jet Airways,2019-06-05,Kolkata,Banglore,18.55,16.2,21.42,1,13584,June,5,Wednesday,23,6
Jet Airways,2019-03-21,Delhi,Cochin,16.1,18.5,26.67,2,13180,March,21,Thursday,12,3
Jet Airways,2019-12-05,Kolkata,Banglore,20.25,18.0,21.58,1,14151,December,5,Thursday,49,12
Vistara,2019-12-05,Delhi,Cochin,6.0,9.1,3.17,0,6216,December,5,Thursday,49,12
Multiple carriers,2019-03-03,Delhi,Cochin,7.3,18.5,11.33,1,15135,March,3,Sunday,9,3
Multiple carriers,2019-06-03,Delhi,Cochin,11.3,21.0,9.5,1,15136,June,3,Monday,23,6
Jet Airways,2019-06-27,Delhi,Cochin,2.15,19.0,16.75,1,10262,June,27,Thursday,26,6
Jet Airways,2019-05-18,Kolkata,Banglore,9.35,22.05,12.5,1,12384,May,18,Saturday,20,5
Jet Airways,2019-01-04,Kolkata,Banglore,9.35,19.1,9.58,1,9314,January,4,Friday,1,1
Jet Airways,2019-06-05,Kolkata,Banglore,17.0,18.0,25.0,1,9314,June,5,Wednesday,23,6
Air India,2019-01-06,Delhi,Cochin,9.0,19.15,10.25,1,10454,January,6,Sunday,1,1
Air India,2019-05-18,Delhi,Cochin,23.0,7.4,8.67,1,8372,May,18,Saturday,20,5
Jet Airways,2019-09-03,Delhi,Cochin,19.45,4.25,8.67,1,11848,September,3,Tuesday,36,9
IndiGo,2019-01-06,Delhi,Cochin,8.3,21.0,12.5,1,6416,January,6,Sunday,1,1
IndiGo,2019-01-04,Mumbai,Hyderabad,9.1,10.4,1.5,0,3342,January,4,Friday,1,1
Jet Airways,2019-06-06,Kolkata,Banglore,6.3,7.25,24.92,2,10118,June,6,Thursday,23,6
Air India,2019-12-06,Kolkata,Banglore,16.45,12.3,19.75,2,14960,December,6,Friday,49,12
IndiGo,2019-06-15,Delhi,Cochin,5.05,16.1,11.08,1,6818,June,15,Saturday,24,6
Air India,2019-12-06,Kolkata,Banglore,14.15,16.45,2.5,0,5510,December,6,Friday,49,12
Jet Airways,2019-05-21,Kolkata,Banglore,6.3,9.2,26.83,1,14388,May,21,Tuesday,21,5
Multiple carriers,2019-03-06,Delhi,Cochin,14.55,22.3,7.58,1,7038,March,6,Wednesday,10,3
Multiple carriers,2019-09-05,Delhi,Cochin,8.45,19.15,10.5,1,8266,September,5,Thursday,36,9
